Name,Kingdom,Species,%identity,%cover,Length,Matches Percentage
AQP 9458,Bacteria,"Paracoccus homiensis 98.90%
Paracoccus zeaxanthinifaciens 98.62%",98.90%,100.00%,724,"Paracoccus homiensis 98.90%
Paracoccus zeaxanthinifaciens 98.62%
Paracoccus zeaxanthinifaciens subsp. payriae 98.48%
Paracoccus aquimaris 97.93%
Paracoccus indicus 97.79%
Paenirhodobacter enshiensis 97.64%
Paracoccus seriniphilus 97.22%
Paracoccus pueri 96.80%
Paracoccus hibisci 96.80%
Paracoccus beibuensis 96.32%
Rhodobacter vinaykumarii 96.39%
Paracoccus aminovorans 96.39%
Paracoccus lutimaris 96.25%
Paracoccus mangrovi 96.25%
Acidimangrovimonas pyrenivorans 96.25%
Paracoccus communis 96.25%
Paracoccus rhizosphaerae 96.04%
Paracoccus stylophorae 96.26%
Paracoccus isoporae 96.25%
Thioclava nitratireducens 95.99%"
AQP 4194,Bacteria,Paracoccus lutimaris,99.45%,100.00%,362,"Paracoccus lutimaris 99.45%
Paracoccus mangrovi 98.90%
Paracoccus seriniphilus 98.62%
Paracoccus litorisediminis 98.35%
Paracoccus aestuariivivens 98.35%
Acidimangrovimonas sediminis 98.07%
Paracoccus sordidisoli 98.08%
Paracoccus laeviglucosivorans 97.79%
Paracoccus limosus 97.79%
Paracoccus yeei 97.51%
Paracoccus aminovorans 97.24%
Paracoccus marcusii 96.69%
Paracoccus pueri 96.69%
Paracoccus hibisci 96.69%
Paracoccus carotinifaciens 96.69%
Paracoccus haeundaensis 96.69%
Paracoccus fistulariae 96.69%
Paenirhodobacter enshiensis 96.41%
Paracoccus aerius 96.42%
Paracoccus acridae 96.43%"
AQP 9613,Bacteria,"Paracoccus marcusii 99.88%
Paracoccus carotinifaciens 99.88%
Paracoccus haeundaensis 99.76%
Paracoccus aestuarii 98.49%",99.88%,99.76%,828,"Paracoccus marcusii 99.88%
Paracoccus carotinifaciens 99.88%
Paracoccus haeundaensis 99.76%
Paracoccus hibiscisoli 99.52%
Paracoccus pueri 98.55%
Paracoccus hibisci 98.55%
Paracoccus laeviglucosivorans 98.18%
Paracoccus yeei 97.82%
Paracoccus limosus 97.46%
Paracoccus aestuarii 98.49%
Paracoccus lutimaris 97.22%
Paracoccus mangrovi 97.22%
Paracoccus aminovorans 97.09%
Paracoccus aminophilus 96.97%
Paracoccus niistensis 96.86%
Paracoccus chinensis 96.85%
Rhodobacter capsulatus 96.86%
Rhodobacter sediminis 96.85%
Paracoccus huijuniae 96.85%
Rhodobacter azollae 96.63%"
AQP 9577,Bacteria,Paracoccus zeaxanthinifaciens,99.64%,100.00%,830,"Paracoccus zeaxanthinifaciens 99.64%
Paracoccus zeaxanthinifaciens subsp. payriae 99.52%
Paracoccus homiensis 99.16%
Paracoccus aquimaris 98.31%
Paracoccus indicus 98.19%
Paenirhodobacter enshiensis 97.35%
Rhodobacter vinaykumarii 97.23%
Paracoccus seriniphilus 97.11%
Paracoccus communis 96.63%
Thioclava nitratireducens 96.63%
Paracoccus rhizosphaerae 96.33%
Paracoccus beibuensis 96.33%
Paracoccus denitrificans 96.51%
Paracoccus pueri 96.51%
Paracoccus hibisci 96.51%
Paracoccus fistulariae 96.51%
Paracoccus subflavus 96.39%
Acidimangrovimonas pyrenivorans 96.39%
Paracoccus caeni 96.39%
Paracoccus aminovorans 96.27%"
AQP 9631,Bacteria,Paracoccus zeaxanthinifaciens,100.00%,100.00%,730,"Paracoccus zeaxanthinifaciens 100.00%
Paracoccus zeaxanthinifaciens subsp. payriae 99.86%
Paracoccus homiensis 99.45%
Paracoccus aquimaris 98.49%
Paracoccus indicus 98.36%
Paenirhodobacter enshiensis 98.19%
Paracoccus seriniphilus 97.78%
Rhodobacter vinaykumarii 97.39%
Acidimangrovimonas pyrenivorans 97.12%
Paracoccus rhizosphaerae 97.14%
Paracoccus pueri 97.36%
Paracoccus hibisci 97.36%
Paracoccus beibuensis 96.64%
Paracoccus communis 96.84%
Paracoccus denitrificans 96.71%
Thioclava nitratireducens 96.58%
Paracoccus isoporae 96.57%
Paracoccus subflavus 96.44%
Paracoccus stylophorae 96.81%
Paracoccus aminovorans 96.43%"
AQP 4173,Bacteria,"Paraglaciecola chathamensis 99.28%
Paraglaciecola agarilytica 99.28%
Paraglaciecola oceanifecundans 99.14%",99.28%,100.00%,694,"Paraglaciecola chathamensis S18K6 99.28%
Paraglaciecola agarilytica 99.28%
Paraglaciecola oceanifecundans 99.14%
Paraglaciecola mesophila 98.99%
Paraglaciecola polaris 97.84%
Paraglaciecola aquimarina 96.12%
Aliiglaciecola aliphaticivorans 95.41%
Paraglaciecola aestuariivivens 95.25%
Paraglaciecola hydrolytica 96.53%"
AQP 9481,Bacteria,"Parasphingorhabdus litoris 98.27%
Parasphingorhabdus marina 98.12%",98.27%,100.00%,693,"Parasphingorhabdus litoris 98.27%
Parasphingorhabdus marina DSM 22363 98.12%
Parasphingorhabdus flavimaris 96.83%
Parasphingorhabdus pacifica 96.54%
Sphingorhabdus buctiana 95.10%
Sphingorhabdus wooponensis 95.10%"
AQP 9465,Bacteria,"Parasphingorhabdus litoris 98.52%
Parasphingorhabdus marina 98.40%",98.52%,100.00%,809,"Parasphingorhabdus litoris 98.52%
Parasphingorhabdus marina DSM 22363 98.40%
Parasphingorhabdus flavimaris 97.28%
Parasphingorhabdus pacifica 96.05%
Sphingorhabdus buctiana 94.81%"
AQP 9607,Bacteria,"Parasphingorhabdus litoris 98.72%
Parasphingorhabdus marina 98.60%",98.72%,100.00%,784,"Parasphingorhabdus litoris 98.72%
Parasphingorhabdus marina DSM 22363 98.60%
Parasphingorhabdus flavimaris 97.45%
Parasphingorhabdus pacifica 96.17%
Sphingorhabdus buctiana 94.90%"
AQP 4244,Bacteria,"Pelagicola litoralis 97.94%
Leisingera methylohalidivorans 97.79%
Leisingera aquimarina 97.64%",97.94%,100.00%,678,"Pelagicola litoralis 97.94%
Leisingera methylohalidivorans DSM 14336 97.79%
Leisingera aquimarina 97.64%
Phaeobacter porticola 97.35%
Sedimentitalea nanhaiensis DSM 24252 97.34%
Litorisediminivivens gilvus 97.05%
Tateyamaria pelophila 97.05%
Phaeobacter inhibens DSM 16374 96.90%
Phaeobacter gallaeciensis DSM 26640 96.90%
Roseovarius arcticus 96.90%
Phaeobacter gallaeciensis 96.90%
Roseovarius nubinhibens 96.90%
Marinovum algicola 97.17%
Shimia thalassica 96.89%
Pelagicola litorisediminis 96.76%
Phaeobacter piscinae 96.61%
Sedimentitalea todarodis 96.61%
Pseudophaeobacter arcticus DSM 23566 97.01%
Sulfitobacter indolifex 96.61%
Pelagimonas varians 96.60%"
AQP 9539,Bacteria,Peribacillus simplex,99.15%,99.72%,352,"Peribacillus simplex NBRC 15720 = DSM 1321 99.15%
Peribacillus simplex 99.15%
[Brevibacterium] frigoritolerans 98.86%
Peribacillus muralis 98.01%
Peribacillus butanolivorans 97.72%
Peribacillus gossypii 96.58%
Peribacillus loiseleuriae 96.32%
Peribacillus asahii 95.44%"
AQP 9496,Bacteria,Phaeobacter italicus,99.88%,100.00%,817,"Phaeobacter italicus 99.88%
Celeribacter neptunius 97.31%
Leisingera aquaemixtae 96.82%
Thalassobius gelatinovorus 96.82%
Aliiroseovarius halocynthiae 96.82%
Lentibacter algarum 96.70%
Pseudoruegeria aquimaris 96.45%
Phaeobacter porticola 96.46%
Thalassobius mediterraneus 96.34%
Ruegeria faecimaris 96.21%
Shimia marina 96.09%
Pseudoruegeria sabulilitoris 96.09%
Leisingera caerulea DSM 24564 96.09%
Phaeobacter inhibens DSM 16374 96.09%
Phaeobacter gallaeciensis DSM 26640 96.09%
Pseudopuniceibacterium sediminis 96.09%
Litorisediminivivens gilvus 96.09%
Ruegeria litorea R37 96.09%
Chachezhania antarctica 96.09%
Pseudoruegeria lutimaris 96.09%"
AQP 4283,Bacteria,Photobacterium frigidiphilum,100.00%,99.00%,201,"Photobacterium frigidiphilum 100.00%
Aliivibrio wodanis 97.99%
Aliivibrio finisterrensis 97.99%
Photobacterium lipolyticum 96.98%
Aliivibrio salmonicida 95.98%
Aliivibrio sifiae 96.79%"
AQP 4720,Bacteria,"Photobacterium indicum 98.93%
Photobacterium frigidiphilum 98.72%",98.72%,100.00%,784,"Photobacterium frigidiphilum 98.72%
Photobacterium indicum 98.93%
Photobacterium lipolyticum 96.94%
Photobacterium profundum 96.38%
Photobacterium phosphoreum 96.06%
Photobacterium aplysiae 96.06%
Photobacterium carnosum 95.93%
Photobacterium aquimaris 95.67%
Photobacterium sanguinicancri 96.04%
Photobacterium iliopiscarium 95.69%
Photobacterium kishitanii 95.55%
Photobacterium swingsii 95.79%
Photobacterium piscicola 95.55%
Aliivibrio wodanis 95.54%
Photobacterium aestuarii 97.17%
Photobacterium alginatilyticum 97.03%"
AQP 9614,Bacteria,"Planococcus maritimus 98.01%
Planococcus plakortidis 97.86%",98.01%,100.00%,701,"Planococcus maritimus 98.01%
Planococcus plakortidis 97.86%
Planococcus donghaensis 97.16%
Planococcus halocryophilus Or1 96.87%
Planococcus maitriensis 97.53%
Planococcus dechangensis 96.72%
Planococcus citreus 96.73%
Planococcus antarcticus 96.72%
Planococcus rifietoensis 96.59%
Planococcus versutus 96.44%
Planococcus salinarum 96.30%
Planococcus kocurii 96.15%
Planomicrobium okeanokoites 95.87%
Planococcus massiliensis 96.51%
Planococcus ruber 96.36%
Planomicrobium koreense 95.44%
Planococcus salinus 95.65%
Planomicrobium soli 95.77%
Planomicrobium psychrophilum 95.04%
Planomicrobium mcmeekinii 95.61%"
AQP 9499,Bacteria,Pseudidiomarina atlantica,99.71%,100.00%,342,"Pseudidiomarina atlantica 99.71%
Pseudidiomarina insulisalsae 97.37%
Pseudidiomarina aquimaris 96.49%
Pseudidiomarina homiensis 96.20%
Pseudidiomarina sediminum 95.61%"
AQP 9517,Bacteria,Pseudoalteromonas arabiensis,99.40%,100.00%,500,"Pseudoalteromonas arabiensis 99.40%
Pseudoalteromonas shioyasakiensis 97.20%
Pseudoalteromonas lipolytica LMEB 39 95.60%
Pseudoalteromonas prydzensis 95.60%
Pseudoalteromonas gelatinilytica 97.63%
Pseudoalteromonas donghaensis 95.20%
Pseudoalteromonas mariniglutinosa 98.03%
Pseudoalteromonas amylolytica 95.20%"
AQP 4836,Bacteria,Pseudoalteromonas arctica,99.87%,99.74%,775,"Pseudoalteromonas arctica 99.87%
Pseudoalteromonas elyakovii 99.22%
Pseudoalteromonas agarivorans DSM 14585 99.22%
Pseudoalteromonas nigrifaciens 99.22%
Pseudoalteromonas paragorgicola 99.22%
Pseudoalteromonas distincta 99.09%
Pseudoalteromonas translucida KMM 520 99.09%
Pseudoalteromonas hodoensis 98.97%
Pseudoalteromonas spiralis 98.84%
Pseudoalteromonas atlantica 98.84%
Pseudoalteromonas telluritireducens 98.84%
Pseudoalteromonas haloplanktis ATCC 14393 98.71%
Pseudoalteromonas antarctica 98.84%
Pseudoalteromonas aliena 98.58%
Pseudoalteromonas haloplanktis 98.45%
Pseudoalteromonas espejiana 98.58%
Pseudoalteromonas carrageenovora 98.58%
Pseudoalteromonas undina 98.19%
Moritella marina ATCC 15381 98.19%
Pseudoalteromonas tetraodonis GFC 97.80%"
AQP 4735,Bacteria,Pseudoalteromonas sp. 99.12%,99.12%,100.00%,226,"Pseudoalteromonas distincta 99.12%
Pseudoalteromonas arctica 99.12%
Pseudoalteromonas nigrifaciens 99.12%
Pseudoalteromonas elyakovii 98.68%
Pseudoalteromonas telluritireducens 98.68%
Pseudoalteromonas hodoensis 98.67%
Pseudoalteromonas espejiana 98.68%
Pseudoalteromonas carrageenovora 98.68%
Pseudoalteromonas agarivorans DSM 14585 98.68%
Pseudoalteromonas spiralis 98.24%
Pseudoalteromonas atlantica 98.24%
Pseudoalteromonas paragorgicola 98.24%
Pseudoalteromonas haloplanktis ATCC 14393 97.80%
Pseudoalteromonas translucida KMM 520 97.80%
Pseudoalteromonas undina 97.37%
Pseudoalteromonas antarctica 97.36%
Pseudoalteromonas haloplanktis 96.48%
Pseudoalteromonas aliena 96.48%
Moritella marina ATCC 15381 96.49%"
AQP 4688,Bacteria,Pseudoalteromonas sp. 99.30%,99.30%,100.00%,284,"Pseudoalteromonas distincta 99.30%
Pseudoalteromonas arctica 99.30%
Pseudoalteromonas nigrifaciens 99.30%
Pseudoalteromonas elyakovii 98.95%
Pseudoalteromonas telluritireducens 98.95%
Pseudoalteromonas espejiana 98.95%
Pseudoalteromonas agarivorans DSM 14585 98.95%
Pseudoalteromonas hodoensis 98.94%
Pseudoalteromonas spiralis 98.60%
Pseudoalteromonas atlantica 98.60%
Pseudoalteromonas paragorgicola 98.60%
Pseudoalteromonas haloplanktis ATCC 14393 98.25%
Pseudoalteromonas carrageenovora 98.25%
Pseudoalteromonas translucida KMM 520 98.25%
Pseudoalteromonas antarctica 97.89%
Pseudoalteromonas haloplanktis 97.19%
Pseudoalteromonas aliena 97.19%
Pseudoalteromonas undina 97.20%
Moritella marina ATCC 15381 96.85%
Pseudoalteromonas tetraodonis GFC 95.79%"
AQP 4918,Bacteria,"Pseudoalteromonas elyakovii 99.25%
Pseudoalteromonas nigrifaciens 99.25%
Pseudoalteromonas paragorgicola 99.25%",99.25%,99.88%,800,"Pseudoalteromonas elyakovii 99.25%
Pseudoalteromonas nigrifaciens 99.25%
Pseudoalteromonas paragorgicola 99.25%
Pseudoalteromonas distincta 99.12%
Pseudoalteromonas agarivorans DSM 14585 99.12%
Pseudoalteromonas hodoensis 98.88%
Pseudoalteromonas atlantica 98.75%
Pseudoalteromonas spiralis 98.75%
Pseudoalteromonas telluritireducens 98.75%
Pseudoalteromonas haloplanktis ATCC 14393 98.99%
Pseudoalteromonas haloplanktis 98.50%
Pseudoalteromonas arctica 98.62%
Pseudoalteromonas espejiana 98.50%
Pseudoalteromonas antarctica 98.50%
Pseudoalteromonas carrageenovora 98.50%
Pseudoalteromonas translucida KMM 520 98.50%
Pseudoalteromonas undina 98.12%
Pseudoalteromonas aliena 98.12%
Moritella marina ATCC 15381 98.24%
Pseudoalteromonas tetraodonis GFC 99.48%"
AQP 4875,Bacteria,"Pseudoalteromonas elyakovii 99.50%
Pseudoalteromonas nigrifaciens 99.50%
Pseudoalteromonas paragorgicola 99.50%",99.50%,99.75%,805,"Pseudoalteromonas elyakovii 99.50%
Pseudoalteromonas nigrifaciens 99.50%
Pseudoalteromonas paragorgicola 99.50%
Pseudoalteromonas distincta 99.38%
Pseudoalteromonas agarivorans DSM 14585 99.38%
Pseudoalteromonas hodoensis 99.13%
Pseudoalteromonas atlantica 99.00%
Pseudoalteromonas spiralis 99.00%
Pseudoalteromonas telluritireducens 99.00%
Pseudoalteromonas haloplanktis 98.75%
Pseudoalteromonas arctica 98.88%
Pseudoalteromonas espejiana 98.75%
Pseudoalteromonas haloplanktis ATCC 14393 99.24%
Pseudoalteromonas carrageenovora 98.75%
Pseudoalteromonas undina 98.38%
Pseudoalteromonas aliena 98.38%
Pseudoalteromonas antarctica 98.51%
Pseudoalteromonas translucida KMM 520 98.51%
Moritella marina ATCC 15381 98.49%
Pseudoalteromonas tetraodonis GFC 98.01%"
AQP 9616,Bacteria,"Pseudoalteromonas gelatinilytica 99.42%
Pseudoalteromonas prydzensis 98.21%
Pseudoalteromonas shioyasakiensis 97.80%",99.42%,100.00%,728,"Pseudoalteromonas prydzensis 98.21%
Pseudoalteromonas shioyasakiensis 97.80%
Pseudoalteromonas gelatinilytica 99.42%
Pseudoalteromonas lipolytica LMEB 39 97.66%
Pseudoalteromonas arabiensis 97.53%
Pseudoalteromonas mariniglutinosa 98.18%
Pseudoalteromonas donghaensis 97.39%
Pseudoalteromonas neustonica 97.26%
Pseudoalteromonas aurantia 96.71%
Pseudoalteromonas profundi 98.13%
Pseudoalteromonas amylolytica 96.70%
Pseudoalteromonas citrea 96.43%
Pseudoalteromonas aestuariivivens 97.06%
Pseudoalteromonas byunsanensis 96.91%
Pseudoalteromonas hodoensis 96.31%
Pseudoalteromonas agarivorans DSM 14585 96.31%
Pseudoalteromonas arctica 96.29%
Pseudoalteromonas spiralis 96.16%
Pseudoalteromonas elyakovii 96.17%
Pseudoalteromonas atlantica 96.17%"
AQP 9569,Bacteria,"Pseudoalteromonas gelatinilytica 99.75%
Pseudoalteromonas shioyasakiensis 99.59%",99.75%,99.38%,800,"Pseudoalteromonas gelatinilytica 99.75%
Pseudoalteromonas profundi 98.62%
Pseudoalteromonas shioyasakiensis 99.59%
Pseudoalteromonas mariniglutinosa 99.20%
Pseudoalteromonas arabiensis 98.66%
Pseudoalteromonas prydzensis 98.39%
Pseudoalteromonas lipolytica LMEB 39 98.12%
Pseudoalteromonas amylolytica 97.61%
Pseudoalteromonas donghaensis 97.86%
Pseudoalteromonas aestuariivivens 98.12%
Pseudoalteromonas byunsanensis 97.72%
Pseudoalteromonas neustonica 97.70%
Pseudoalteromonas aurantia 97.05%
Pseudoalteromonas citrea 96.78%
Pseudoalteromonas tetraodonis GFC 96.77%
Pseudoalteromonas undina 96.77%
Pseudoalteromonas atlantica 96.64%
Pseudoalteromonas haloplanktis 96.64%
Pseudoalteromonas spiralis 96.63%
Pseudoalteromonas hodoensis 96.64%"
AQP 9526,Bacteria,"Pseudoalteromonas gelatinilytica 99.87%
Pseudoalteromonas shioyasakiensis 99.86%",99.87%,99.73%,750,"Pseudoalteromonas gelatinilytica 99.87%
Pseudoalteromonas profundi 98.80%
Pseudoalteromonas shioyasakiensis 99.86%
Pseudoalteromonas mariniglutinosa 99.28%
Pseudoalteromonas arabiensis 98.73%
Pseudoalteromonas prydzensis 98.71%
Pseudoalteromonas amylolytica 98.02%
Pseudoalteromonas aestuariivivens 98.29%
Pseudoalteromonas lipolytica LMEB 39 98.14%
Pseudoalteromonas byunsanensis 98.00%
Pseudoalteromonas donghaensis 97.85%
Pseudoalteromonas neustonica 97.85%
Pseudoalteromonas aurantia 97.57%
Pseudoalteromonas citrea 97.43%
Pseudoalteromonas arctica 96.85%
Pseudoalteromonas tetraodonis GFC 96.87%
Pseudoalteromonas undina 96.87%
Pseudoalteromonas spiralis 96.71%
Pseudoalteromonas atlantica 96.72%
Pseudoalteromonas haloplanktis 96.72%"
AQP 9545,Bacteria,"Pseudoalteromonas lipolytica 99.76%
Pseudoalteromonas donghaensis 99.53%",99.76%,100.00%,848,"Pseudoalteromonas lipolytica LMEB 39 99.76%
Pseudoalteromonas donghaensis 99.53%
Pseudoalteromonas arabiensis 96.94%
Pseudoalteromonas prydzensis 96.83%
Pseudoalteromonas gelatinilytica 98.39%
Pseudoalteromonas shioyasakiensis 96.58%
Pseudoalteromonas mariniglutinosa 96.70%
Pseudoalteromonas neustonica 96.47%
Pseudoalteromonas profundi 97.77%
Pseudoalteromonas byunsanensis 96.12%
Pseudoalteromonas hodoensis 96.11%
Pseudoalteromonas aurantia 95.89%
Pseudoalteromonas agarivorans DSM 14585 96.00%
Pseudoalteromonas spiralis 95.88%
Pseudoalteromonas atlantica 95.88%
Pseudoalteromonas telluritireducens 95.88%
Pseudoalteromonas aestuariivivens 95.76%
Pseudoalteromonas amylolytica 95.77%
Pseudoalteromonas citrea 95.66%
Pseudoalteromonas elyakovii 95.76%"
AQP 4880,Bacteria,Pseudoalteromonas neustonica,98.87%,99.88%,800,"Pseudoalteromonas neustonica 98.87%
Pseudoalteromonas prydzensis 98.13%
Pseudoalteromonas mariniglutinosa 96.88%
Pseudoalteromonas lipolytica LMEB 39 96.75%
Pseudoalteromonas citrea 97.56%
Pseudoalteromonas donghaensis 96.50%
Pseudoalteromonas atlantica 96.62%
Pseudoalteromonas hodoensis 96.74%
Pseudoalteromonas agarivorans DSM 14585 96.50%
Pseudoalteromonas spiralis 96.38%
Pseudoalteromonas elyakovii 96.38%
Pseudoalteromonas espejiana 96.38%
Pseudoalteromonas arabiensis 97.06%
Pseudoalteromonas telluritireducens 96.38%
Pseudoalteromonas profundi 97.89%
Pseudoalteromonas carrageenovora 96.38%
Pseudoalteromonas nigrifaciens 96.38%
Pseudoalteromonas amylolytica 96.71%
Pseudoalteromonas paragorgicola 96.38%
Pseudoalteromonas aestuariivivens 96.25%"
AQP 4872,Bacteria,"Pseudoalteromonas nigrifaciens 100.00%
Pseudoalteromonas elyakovii 99.87%
Pseudoalteromonas distincta 99.87%",100.00%,99.74%,775,"Pseudoalteromonas nigrifaciens 100.00%
Pseudoalteromonas elyakovii 99.87%
Pseudoalteromonas distincta 99.87%
Pseudoalteromonas agarivorans DSM 14585 99.74%
Pseudoalteromonas paragorgicola 99.74%
Pseudoalteromonas hodoensis 99.48%
Pseudoalteromonas atlantica 99.48%
Pseudoalteromonas haloplanktis ATCC 14393 99.35%
Pseudoalteromonas spiralis 99.35%
Pseudoalteromonas espejiana 99.35%
Pseudoalteromonas telluritireducens 99.35%
Pseudoalteromonas carrageenovora 99.35%
Pseudoalteromonas arctica 99.35%
Pseudoalteromonas aliena 99.09%
Pseudoalteromonas haloplanktis 98.97%
Pseudoalteromonas undina 98.71%
Moritella marina ATCC 15381 98.71%
Pseudoalteromonas translucida KMM 520 98.58%
Pseudoalteromonas antarctica 98.58%
Pseudoalteromonas tetraodonis GFC 98.45%"
AQP 4879,Bacteria,"Pseudoalteromonas nigrifaciens 99.47%
Pseudoalteromonas elyakovii 99.33%
Pseudoalteromonas distincta 99.33%",99.47%,100.00%,751,"Pseudoalteromonas nigrifaciens 99.47%
Pseudoalteromonas elyakovii 99.33%
Pseudoalteromonas distincta 99.33%
Pseudoalteromonas agarivorans DSM 14585 99.20%
Pseudoalteromonas paragorgicola 99.20%
Pseudoalteromonas haloplanktis ATCC 14393 99.07%
Pseudoalteromonas atlantica 98.93%
Pseudoalteromonas spiralis 98.80%
Pseudoalteromonas espejiana 98.80%
Pseudoalteromonas telluritireducens 98.80%
Pseudoalteromonas hodoensis 98.93%
Pseudoalteromonas carrageenovora 98.80%
Pseudoalteromonas arctica 98.80%
Pseudoalteromonas aliena 98.54%
Pseudoalteromonas haloplanktis 98.40%
Pseudoalteromonas undina 98.14%
Moritella marina ATCC 15381 98.14%
Pseudoalteromonas translucida KMM 520 98.00%
Pseudoalteromonas antarctica 98.01%
Pseudoalteromonas tetraodonis GFC 97.87%"
AQP 4835,Bacteria,"Pseudoalteromonas nigrifaciens 99.59%
Pseudoalteromonas elyakovii 99.46%
Pseudoalteromonas distincta 99.46%
Pseudoalteromonas agarivorans 99.45%",99.59%,99.86%,735,"Pseudoalteromonas nigrifaciens 99.59%
Pseudoalteromonas elyakovii 99.46%
Pseudoalteromonas distincta 99.46%
Pseudoalteromonas agarivorans DSM 14585 99.45%
Pseudoalteromonas paragorgicola 99.32%
Pseudoalteromonas haloplanktis ATCC 14393 99.18%
Pseudoalteromonas hodoensis 99.18%
Pseudoalteromonas atlantica 99.18%
Pseudoalteromonas spiralis 99.05%
Pseudoalteromonas espejiana 99.05%
Pseudoalteromonas telluritireducens 99.05%
Pseudoalteromonas carrageenovora 99.05%
Pseudoalteromonas arctica 98.91%
Pseudoalteromonas aliena 98.64%
Pseudoalteromonas haloplanktis 98.64%
Pseudoalteromonas undina 98.64%
Moritella marina ATCC 15381 98.37%
Pseudoalteromonas antarctica 98.10%
Pseudoalteromonas translucida KMM 520 98.10%
Pseudoalteromonas tetraodonis GFC 98.09%"
AQP 9536,Bacteria,Pseudoalteromonas sp. 98.61%,98.61%,100.00%,214,"Pseudoalteromonas piscicida 98.61%
Pseudoalteromonas peptidolytica 98.61%
Pseudoalteromonas carrageenovora 98.61%
Pseudoalteromonas flavipulchra 98.61%
Pseudoalteromonas maricaloris 98.61%
Pseudoalteromonas tetraodonis GFC 98.15%
Pseudoalteromonas telluritireducens 98.15%
Pseudoalteromonas spiralis 98.15%
Pseudoalteromonas distincta 98.15%
Pseudoalteromonas piratica 98.15%
Pseudoalteromonas elyakovii 98.15%
Pseudoalteromonas marina 98.15%
Pseudoalteromonas undina 98.15%
Pseudoalteromonas nigrifaciens 98.15%
Pseudoalteromonas agarivorans DSM 14585 98.15%
Pseudoalteromonas arctica 98.15%
Pseudoalteromonas aliena 98.15%
Pseudoalteromonas translucida KMM 520 98.15%
Pseudoalteromonas paragorgicola 98.15%
Pseudoalteromonas spongiae 97.70%"
AQP 4934,Bacteria,"Pseudoalteromonas piscicida 99.52%
Pseudoalteromonas flavipulchra 99.52%
Pseudoalteromonas maricaloris 99.52%",99.52%,100.00%,623,"Pseudoalteromonas piscicida 99.52%
Pseudoalteromonas flavipulchra 99.52%
Pseudoalteromonas maricaloris 99.52%
Pseudoalteromonas peptidolytica 99.20%
Pseudoalteromonas rubra 98.72%
Pseudoalteromonas tetraodonis GFC 98.24%
Pseudoalteromonas piratica 97.91%
Pseudoalteromonas luteoviolacea 97.60%
Pseudoalteromonas phenolica 96.96%
Pseudoalteromonas spongiae 97.38%
Pseudoalteromonas carrageenovora 96.81%
Pseudoalteromonas undina 96.49%
Pseudoalteromonas elyakovii 96.65%
Pseudoalteromonas agarivorans DSM 14585 96.65%
Pseudoalteromonas nigrifaciens 96.65%
Pseudoalteromonas paragorgicola 96.65%
Pseudoalteromonas hodoensis 96.64%
Pseudoalteromonas atlantica 96.49%
Pseudoalteromonas distincta 96.49%
Pseudoalteromonas espejiana 96.33%"
AQP 4264,Bacteria,Pseudoalteromonas prydzensis,98.86%,100.00%,528,"Pseudoalteromonas prydzensis 98.86%
Pseudoalteromonas neustonica 97.92%
Pseudoalteromonas mariniglutinosa 96.78%
Pseudoalteromonas shioyasakiensis 96.21%
Pseudoalteromonas citrea 96.22%
Pseudoalteromonas aurantia 96.22%
Pseudoalteromonas amylolytica 96.21%
Pseudoalteromonas arabiensis 96.02%
Pseudoalteromonas lipolytica LMEB 39 95.83%
Pseudoalteromonas aestuariivivens 95.66%
Pseudoalteromonas donghaensis 95.45%
Pseudoalteromonas gelatinilytica 98.14%
Pseudoalteromonas byunsanensis 95.27%
Pseudoalteromonas profundi 97.11%"
AQP 4848,Bacteria,"Pseudoalteromonas gelatinilytica 98.70%
Pseudoalteromonas mariniglutinosa 98.19%
Pseudoalteromonas shioyasakiensis 97.90%",97.90%,99.75%,811,"Pseudoalteromonas shioyasakiensis 97.90%
Pseudoalteromonas prydzensis 97.65%
Pseudoalteromonas lipolytica LMEB 39 97.28%
Pseudoalteromonas arabiensis 97.16%
Pseudoalteromonas donghaensis 97.03%
Pseudoalteromonas gelatinilytica 98.70%
Pseudoalteromonas mariniglutinosa 98.19%
Pseudoalteromonas neustonica 96.43%
Pseudoalteromonas amylolytica 96.04%
Pseudoalteromonas profundi 97.54%
Pseudoalteromonas aurantia 95.93%
Pseudoalteromonas citrea 95.68%
Pseudoalteromonas aestuariivivens 97.17%
Pseudoalteromonas byunsanensis 96.90%
Pseudoalteromonas hodoensis 95.46%
Pseudoalteromonas agarivorans DSM 14585 95.44%
Pseudoalteromonas aliena 95.56%
Pseudoalteromonas atlantica 95.33%
Pseudoalteromonas telluritireducens 95.31%
Pseudoalteromonas spiralis 95.31%"
